Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
social_thought_7_desc;Social Thought for the modern world;;;;;;;;;;;;;
political_thought_7;Postpositivism;;;;;;;;;;;;;
political_thought_7_desc;One of the first thinkers to criticize logical positivism was Karl Popper.;;;;;;;;;;;;;
psychology_7;Cognitive Psychology;;;;;;;;;;;;;
psychology_7_desc;The origin of cognitive psychology occurred in the 1960s in a break from behaviorism, which had held from the 1920s to 1950s that unobservable mental processes were outside of the realm of empirical science;;;;;;;;;;;;;
tech_power_7;Gas Turbine Electrical Generation;;;;;;;;;;;;;
tech_power_7_desc;Following development of a gas turbine-electric locomotive in 1948, GE installed its first commercial gas turbine for power generation—a 3.5-MW heavy-duty unit—at the Belle Isle Station owned by Oklahoma Gas & Electric in July 1949.;;;;;;;;;;;;;
mechanization_7;Mass Production;;;;;;;;;;;;;
mechanization_7_desc;Mass production is the manufacturing of large quantities of standardized products, often using assembly lines or automation technology.;;;;;;;;;;;;;
metallurgy_7;Petroleum Minerology;;;;;;;;;;;;
metallurgy_7_desc;Mining for the modern age;;;;;;;;;;;;;
tech_infrastructure_7;Asphalt Roads;;;;;;;;;;;;;
tech_infrastructure_7_desc;Asphalt (specifically, asphalt concrete), sometimes called flexible pavement due to the nature in which it distributes loads, has been widely used since the 1920s;;;;;;;;;;;;;
chemistry_and_electricity_7;Modern Science;;;;;;;;;;;;;
chemistry_and_electricity_7_desc;Modern science;;;;;;;;;;;;;
naval_doctrine_7;Carrier Doctrine;;;;;;;;;;;;;
naval_doctrine_7_desc;The increasing role of aircraft in naval operations requires new forms of operational thought;;;;;;;;;;;;;
ship_construction_7;Carrier Design;;;;;;;;;;;;;
ship_construction_7_desc;Modern technology allows the development of ships better than ever before;;;;;;;;;;;;;
naval_engineering_7;Naval Electrical Engineering;;;;;;;;;;;;;
naval_engineering_7_desc;Modern technology allows the development of ships better than ever before;;;;;;;;;;;;;
naval_science_7;Naval Operations;;;;;;;;;;;;;
naval_science_7_desc;Naval science for the modern age;;;;;;;;;;;;;
naval_leadership_7;Academic Naval Training;;;;;;;;;;;;;
naval_leadership_7_desc;Naval Training for the modern age;;;;;;;;;;;;;
haber_process;Haber-Bosch Process;;;;;;;;;;;;;
haber_process_desc;The Haber–Bosch process is an artificial nitrogen fixation process which converts atmospheric nitrogen (N2) to ammonia (NH3) by a reaction with hydrogen (H2) using a metal catalyst under high temperatures and pressures. Before the development of the Haber process, it had been difficult to produce ammonia on an industrial scale, with early methods, such as the Birkeland–Eyde process and the Frank–Caro process, all highly inefficient.;;;;;;;;;;;;;
magnetic_separation;Magnetic Separation;;;;;;;;;;;;;
magnetic_separation_desc;Powerful magnets can attract iron-containing objects out of ore. It is often used to separate magnetic waste material, including nails, bolts, wires, and broken tools, that have fallen into mined ore, in order to prevent these metal shards from damaging ore processing equipment.;;;;;;;;;;;;;
leaded_gasoline;Petrol-Fuel Additives;;;;;;;;;;;;;
leaded_gasoline_desc;Tetraethyllead, abbreviated TEL, is a fuel additive that substantially improved vehicle performance and fuel economy by preventing engine knock and reducing valve wear. For mixing with raw gasoline, TEL was most commonly supplied in the form of "Ethyl Fluid", which consisted of TEL blended with 1,2-dichloroethane and 1,2-dibromoethane. It is highly toxic, with as little as 6 mL being enough to induce severe lead poisoning.;;;;;;;;;;;;;
rubber_n_plastic_additives;Rubber and Plastic Additives;;;;;;;;;;;;;
rubber_n_plastic_additives_desc;Additives are added to rubber and plastic to improve its properties. Carbon black could increase automotive tire road wear by 100X and tensile strength by as much as 1008 percent, and silica raises the elastic modulus while providing toughness and resistance to abrasion. Other protective chemicals such as amides, phenols, paraffin wax, and small amounts of metal can be added to rubber to prevent ozone degradion of rubber. Meanwhile, plasticizers, most commonly phthalate esters, are added to plastic and rubber to improve the flexibility of the material. Plasticizers can also be added to concrete to increase its strength, enabling the production of concrete with approximately 15% less water content.;;;;;;;;;;;;;
nuclear_theory;Atomic Physics;;;;;;;;;;;;;
nuclear_theory_desc;New advances in physics are improving scientific knowledge of the atom.;;;;;;;;;;;;;
saturation_bombing_doctrine;Saturation Bombing Doctrine;;;;;;;;;;;;;
saturation_bombing_doctrine_desc;Due to the inaccuracy of unguided aerial bombs, many bombs are required for better chances of destroying the target. Constructing aircraft large enough to carry so many bombs and coordinating so many bombers to one area is difficult, but the results are devastating.;;;;;;;;;;;;;
army_motorization;Army Motorization;;;;;;;;;;;;;
army_motorization_desc;Increasing the use of unarmored vehicles for military transport improves mobility drastically.;;;;;;;;;;;;;
mechanized_assault_doctrine;Mechanized Assault Doctrine;;;;;;;;;;;;;
mechanized_assault_doctrine_desc;The strategic mobility of motorized and mechanized troops allow firepower to be quickly concentrated at critical regions of the battlefield.;;;;;;;;;;;;;
paratrooper_doctrine;Airborne Assault Doctrine;;;;;;;;;;;;;
paratrooper_doctrine_desc;Paratroopers are elite commandos exploiting the surprise of an airborne attack to capture key areas ahead of the land army.;;;;;;;;;;;;;
combined_arms_offensive;Combined Arms Doctrine;;;;;;;;;;;;;
combined_arms_offensive_desc;Cooperation between infantry, artillery, armor, and aircraft yields more than the sum of its parts.;;;;;;;;;;;;;
computerized_army_intelligence;Computerized Army Intelligence;;;;;;;;;;;;;
computerized_army_intelligence_desc;Computers vastly speed up encryption and decryption.;;;;;;;;;;;;;
portable_radio;Portable Radio;;;;;;;;;;;;;
portable_radio_desc;Two-way radios help squads keep in contact with their commanders. Large and bulky military backpack radios soon evolved into new, smaller designs which could be held entirely in the hand.;;;;;;;;;;;;;
early_warning_radar;Early Warning Radar;;;;;;;;;;;;;
early_warning_radar_desc;Radar was first used for long range detection of targets, to allow defenses to be alerted as early as possible. At this time, they were limited to about 160 to 240 km in range.;;;;;;;;;;;;;
motorized_recon;Motorized Reconnaissance;;;;;;;;;;;;;
motorized_recon_desc;Fast-moving vehicles give motorized and armored units an advantage in finding and exploiting weakly defended areas of the enemy line.;;;;;;;;;;;;;
operations_research;Operations Research;;;;;;;;;;;;;
operations_research_desc;Mathematical and statistical analyses improve decision making.;;;;;;;;;;;;;
air_to_air_radar;Air to Air Radar;;;;;;;;;;;;;
air_to_air_radar_desc;Mounting miniaturized radar sets onto aircraft gives an advantage in air detection and combat.;;;;;;;;;;;;;
self_propelled_artillery;Self-Propelled Artillery;;;;;;;;;;;;;
self_propelled_artillery_desc;The key advantage of self-propelled over towed artillery is that it can be brought into action much faster. Before the towed artillery can be used, it has to stop, unlimber and set up the guns. To move position, the guns must be limbered up again and brought—usually towed—to the new location. By comparison, self-propelled artillery can stop at a chosen location and begin firing almost immediately, then quickly move on to a new position. This shoot-and-scoot ability is very useful in a mobile conflict and particularly on the advance.;;;;;;;;;;;;;
rocket_artillery;Rocket Artillery;;;;;;;;;;;;;
rocket_artillery_desc;Rockets have been used in warfare ever since they were invented in medieval China. By the late nineteenth century, however, the use of military rockets declined due to improvements in the power and range of conventional artillery. Recent advances in rocketry permit rockets a place in the battlefield once again.;;;;;;;;;;;;;
proximity_fuze;Proximity Fuse;;;;;;;;;;;;;
proximity_fuze_desc;Fuses have been designed with a variety of sensors to make sure artillery shells explode as close to the target as possible.;;;;;;;;;;;;;
sloped_armor;Sloped Armor;;;;;;;;;;;;;
sloped_armor_desc;Sloping armor plates increases relative armor thickness, improves deflectability of the armor, and saves on surface area.;;;;;;;;;;;;;
main_battle_tank;Main Battle Tank;;;;;;;;;;;;;
main_battle_tank_desc;Earlier tanks were classified into light, medium, and heavy classes, but technological advancements in engines, suspension, and armor allowed one tank class to perform well in the former niches held by the earlier classes. This new class of tank was called the main battle tank, which soon replaced almost all other types of tanks.;;;;;;;;;;;;;
semi_automatic_rifle_armament;Semi-Automatic Rifle Main Armament;;;;;;;;;;;;;
semi_automatic_rifle_armament_desc;;;;;;;;;;;;;;
assault_rifle_experiments;Assault Rifle;;;;;;;;;;;;;
assault_rifle_experiments_desc;;;;;;;;;;;;;;
shaped_charge;Shaped Charge;;;;;;;;;;;;;
shaped_charge_desc;;;;;;;;;;;;;;
motorized_infantry_activation;Motorized Infantry;;;;;;;;;;;;;
motorized_infantry_activation_desc;;;;;;;;;;;;;;
gun_and_bomb_sights;Gun and Bomb Sights;;;;;;;;;;;;;
gun_and_bomb_sights_desc;;;;;;;;;;;;;;
remote_control;Remote Control;;;;;;;;;;;;;
remote_control_desc;;;;;;;;;;;;;;
rocket_powered_aircraft;Rocket Propelled Aircraft;;;;;;;;;;;;;
rocket_powered_aircraft_desc;;;;;;;;;;;;;;
turbojet;First Generation Jet Aircraft;;;;;;;;;;;;;
turbojet_desc;;;;;;;;;;;;;;
strategic_rocket;Strategic Rocket;;;;;;;;;;;;;
strategic_rocket_desc;;;;;;;;;;;;;;
helicopter;Helicopter;;;;;;;;;;;;;
helicopter_desc;;;;;;;;;;;;;;
hedge_funds;Hedge Funds;;;;;;;;;;;;;
hedge_funds_desc;;;;;;;;;;;;;;
erik_lindahl;Erik Lindahl;;;;;;;;;;;;;
erik_lindahl_desc;;;;;;;;;;;;;;
howard_r_bowen;Howard R Bowen;;;;;;;;;;;;;
howard_r_bowen_desc;;;;;;;;;;;;;;
ragnar_frisch;Ragnar Frisch;;;;;;;;;;;;;
ragnar_frisch_desc;;;;;;;;;;;;;;
jan_tinbergen;Jan Tinbergen;;;;;;;;;;;;;
jan_tinbergen_desc;;;;;;;;;;;;;;
adolf_a_berle;Adolf A Berle;;;;;;;;;;;;;
adolf_a_berle_desc;;;;;;;;;;;;;;
leonid_kantorovich;Leonid Kantorovich;;;;;;;;;;;;;
leonid_kantorovich_desc;;;;;;;;;;;;;;
john_hicks;John Hicks;;;;;;;;;;;;;
john_hicks_desc;;;;;;;;;;;;;;
paul_samuelson;Paul Samuelsom;;;;;;;;;;;;;
paul_samuelson_desc;;;;;;;;;;;;;;
quantitative_easing;Quantative Easing;;;;;;;;;;;;;
quantitative_easing_desc;;;;;;;;;;;;;;
human_relations_theory;Human Relations Theory;;;;;;;;;;;;;
human_relations_theory_desc;;;;;;;;;;;;;;
rational_factory_layout;Rational Factory Layout;;;;;;;;;;;;;
rational_factory_layout_desc;;;;;;;;;;;;;;
closed_economy;Closed Economy;;;;;;;;;;;;;
closed_economy_desc;;;;;;;;;;;;;;
hawthrone_study;Hawthrone Study;;;;;;;;;;;;;
hawthrone_study_desc;;;;;;;;;;;;;;
palletization;Palletization;;;;;;;;;;;;;
palletization_desc;;;;;;;;;;;;;;
airliner;Commercial Air Transport;;;;;;;;;;;;;
airliner_desc;;;;;;;;;;;;;;
telex;Teletype Network;;;;;;;;;;;;;
telex_desc;;;;;;;;;;;;;;
modern_literature;Modern Literature;;;;;;;;;;;;;
modern_literature_desc;;;;;;;;;;;;;;
modern_art;Modern Art;;;;;;;;;;;;;
modern_art_desc;;;;;;;;;;;;;;
modern_music;Modern Music;;;;;;;;;;;;;
modern_music_desc;;;;;;;;;;;;;;
television_networks;Television Networks;;;;;;;;;;;;;
television_networks_desc;;;;;;;;;;;;;;
modern_architecture;Modern Architecture;;;;;;;;;;;;;
modern_architecture_desc;;;;;;;;;;;;;;
neoclassical_music;Neoclassical Music;;;;;;;;;;;;;
neoclassical_music_desc;;;;;;;;;;;;;;
brutalism;Brutalism;;;;;;;;;;;;;
brutalism_desc;;;;;;;;;;;;;;
graphic_design;Graphic Design;;;;;;;;;;;;;
graphic_design_desc;;;;;;;;;;;;;;
electronic_music;Electronic Music;;;;;;;;;;;;;
electronic_music_desc;;;;;;;;;;;;;;
neo_romanticism;Neoromanticism;;;;;;;;;;;;;
neo_romanticism_desc;;;;;;;;;;;;;;
logical_empiricism;Logical Empericism;;;;;;;;;;;;;
logical_empiricism_desc;;;;;;;;;;;;;;
being_and_nothingness;Being and Nothingness;;;;;;;;;;;;;
being_and_nothingness_desc;;;;;;;;;;;;;;
absurdism;Absurdism;;;;;;;;;;;;;
absurdism_desc;;;;;;;;;;;;;;
mass_surveillance;Mass Surveillance;;;;;;;;;;;;;
mass_surveillance_desc;;;;;;;;;;;;;;
national_liberation;National Liberation;;;;;;;;;;;;;
national_liberation_desc;;;;;;;;;;;;;;
anticolonialism;Anticolonialism;;;;;;;;;;;;;
anticolonialism_desc;;;;;;;;;;;;;;
gas_turbine;Gas Turbine;;;;;;;;;;;;;
gas_turbine_desc;;;;;;;;;;;;;;
air_preheater;Air Preheater;;;;;;;;;;;;;
air_preheater_desc;;;;;;;;;;;;;;
catalytic_cracking;Catalytic Cracking and Reforming;;;;;;;;;;;;;
catalytic_cracking_desc;;;;;;;;;;;;;;
basic_oxygen_steelmaking;Basic Oxygen Steelmaking;;;;;;;;;;;;;
basic_oxygen_steelmaking_desc;;;;;;;;;;;;;;
kraft_pulping;Kraft Pulping;;;;;;;;;;;;;
kraft_pulping_desc;;;;;;;;;;;;;;
hydrodesulphurization;Hydrodesulphurization;;;;;;;;;;;;;
hydrodesulphurization_desc;;;;;;;;;;;;;;
synthetic_opioids;Synthetic Opioids;;;;;;;;;;;;;
synthetic_opioids_desc;;;;;;;;;;;;;;
artificial_herbicides;Artifical Herbicides;;;;;;;;;;;;;
artificial_herbicides_desc;;;;;;;;;;;;;;
synthetic_rubber;Synthetic Rubber;;;;;;;;;;;;;
synthetic_rubber_desc;;;;;;;;;;;;;;
polystyrene;Polystyrene;;;;;;;;;;;;;
polystyrene_desc;;;;;;;;;;;;;;
nylon;Nylon;;;;;;;;;;;;;
nylon_desc;;;;;;;;;;;;;;
industrial_plastics_production;Improved Plastics Production;;;;;;;;;;;;;
industrial_plastics_production_desc;;;;;;;;;;;;;;
rocket_experiments;Rocket Experiments;;;;;;;;;;;;;
rocket_experiments_desc;;;;;;;;;;;;;;
diesel_excavator;Diesel Excavator;;;;;;;;;;;;;
diesel_excavator_desc;;;;;;;;;;;;;;
improved_hydraulic_drills;Improved Hydraulic Drills;;;;;;;;;;;;;
improved_hydraulic_drills_desc;;;;;;;;;;;;;;
miniature_vacuum_tube;Miniature Vacuum Tube;;;;;;;;;;;;;
oscilloscope_desc;Oscilloscope;;;;;;;;;;;;;
numerical_control;Numerical Control;;;;;;;;;;;;;
numerical_control_desc;;;;;;;;;;;;;;
cavity_magnetron;Cavity Magnetron;;;;;;;;;;;;;
cavity_magnetron_desc;;;;;;;;;;;;;;
general_computer_programming;General Computer Programming;;;;;;;;;;;;;
general_computer_programming_desc;;;;;;;;;;;;;;
sulfa_antibiotics;Sulfa Antibiotics;;;;;;;;;;;;;
sulfa_antibiotics_desc;;;;;;;;;;;;;;
mass_produced_penicillin;Mass Produced Penicillin;;;;;;;;;;;;;
mass_produced_penicillin_desc;;;;;;;;;;;;;;
improved_antibiotics;Improved Antibiotics;;;;;;;;;;;;;
improved_antibiotics_desc;;;;;;;;;;;;;;
fleet_auxiliary_carrier_doctrine;Fleet Auxiliary Carrier;;;;;;;;;;;;;
fleet_auxiliary_carrier_doctrine_desc;;;;;;;;;;;;;;
indirect_strike_doctrine;Indirect Strike;;;;;;;;;;;;;
indirect_strike_doctrine_desc;;;;;;;;;;;;;;
carrier_task_force_doctrine;Carrier Task Force;;;;;;;;;;;;;
carrier_task_force_doctrine_desc;;;;;;;;;;;;;;
coordinated_strike_doctrine;Coordinated Strike;;;;;;;;;;;;;
coordinated_strike_doctrine_desc;;;;;;;;;;;;;;
naval_radar;Naval Radar;;;;;;;;;;;;;
naval_radar_desc;;;;;;;;;;;;;;
super_heavy_main_armament;Super-Heavy Main Armament;;;;;;;;;;;;;
super_heavy_main_armament_desc;;;;;;;;;;;;;;
electronic_fire_control;Electronic Fire Control;;;;;;;;;;;;;
electronic_fire_control_desc;;;;;;;;;;;;;;
dual_purpose_guns;Dual Purpose Guns;;;;;;;;;;;;;
dual_purpose_guns_desc;;;;;;;;;;;;;;
ducol_steel_armor;Ducol Steel Armor;;;;;;;;;;;;;
ducol_steel_armor_desc;;;;;;;;;;;;;;
naval_plastic_armor;Naval Plastic Armor;;;;;;;;;;;;;
naval_plastic_armor_desc;;;;;;;;;;;;;;
acoustic_homing_torpedo;Acoustic Homing Torpedo;;;;;;;;;;;;;
acoustic_homing_torpedo_desc;;;;;;;;;;;;;;
hydraulic_aircraft_catapult;Hydraulic Aircraft Catapult;;;;;;;;;;;;;
hydraulic_aircraft_catapult_desc;;;;;;;;;;;;;;
naval_fighters;Naval Fighters;;;;;;;;;;;;;
naval_fighters_desc;;;;;;;;;;;;;;
naval_bombers;Naval Bombers;;;;;;;;;;;;;
naval_bombers_desc;;;;;;;;;;;;;;
improved_naval_aircraft;Improved Naval Aircraft;;;;;;;;;;;;;
improved_naval_aircraft_desc;;;;;;;;;;;;;;
advanced_amphibious_warfare;Advanced Amphibious Warfare;;;;;;;;;;;;;
advanced_amphibious_warfare_desc;;;;;;;;;;;;;;
computerized_naval_intelligence;Computerized Naval Intelligence;;;;;;;;;;;;;
computerized_naval_intelligence_desc;;;;;;;;;;;;;;
improved_damage_control_training;Improved Damage Control Training;;;;;;;;;;;;;
improved_damage_control_training_desc;;;;;;;;;;;;;;
modern_naval_operations;Modern Naval Operations;;;;;;;;;;;;;
modern_naval_operations_desc;;;;;;;;;;;;;;
improved_commerce_warfare;Improved Commerce Warfare;;;;;;;;;;;;;
improved_commerce_warfare_desc;;;;;;;;;;;;;;
sea_air_integration;Land-Sea Air Integration;;;;;;;;;;;;;
sea_air_integration_desc;;;;;;;;;;;;;;
seaplane_tenders;Seaplane Tenders;;;;;;;;;;;;;
seaplane_tenders_desc;;;;;;;;;;;;;;
converted_hulk_air_carriers;Converted Hulk Aircraft Carriers;;;;;;;;;;;;;
converted_hulk_air_carriers_desc;;;;;;;;;;;;;;
purpose_built_air_carriers;Purpose-Built Aircraft Carriers;;;;;;;;;;;;;
purpose_built_air_carriers_desc;;;;;;;;;;;;;;
light_air_carriers;Light Aircraft Carriers;;;;;;;;;;;;;
light_air_carriers_desc;;;;;;;;;;;;;;
fleet_air_carriers;Fleet Aircraft Carriers;;;;;;;;;;;;;
fleet_air_carriers_desc;;;;;;;;;;;;;;
large_air_carriers;Large Aircraft Carriers;;;;;;;;;;;;;
large_air_carriers_desc;;;;;;;;;;;;;;
large_cruisers;Large Cruisers;;;;;;;;;;;;;
large_cruisers_desc;;;;;;;;;;;;;;
armored_flight_deck;Armored Flight Deck;;;;;;;;;;;;;
armored_flight_deck_desc;;;;;;;;;;;;;;
